State, Region, County, District, District Name, Charter Status, Superintendent, Base Pay, FTE Pay, Enrollment, FTE
TX,4, HARRIS COUNTY,101907, CYPRESS-FAIRBANKS ISD, TRADITIONAL ISD/CSD,"HENRY, JOHN M",437018,437018,114881,1
TX,4, CHAMBERS COUNTY,36902, BARBERS HILL ISD, TRADITIONAL ISD/CSD,"POOLE, GREGORY S",425773,425773,6424,1
TX,19, EL PASO COUNTY,71909, SOCORRO ISD, TRADITIONAL ISD/CSD,"ESPINOZA, JOSE ANGEL",395323,395323,47061,1
TX,19, EL PASO COUNTY,71902, EL PASO ISD, TRADITIONAL ISD/CSD,"CABRERA, JUAN E",388537,388537,50661,1
TX,1, HIDALGO COUNTY,108807, IDEA PUBLIC SCHOOLS, OPEN ENROLLMENT CHARTER,"GAMA, JO ANN",384380,384380,62158,1
TX,11, TARRANT COUNTY,220912, CROWLEY ISD, TRADITIONAL ISD/CSD,"MCFARLAND, MICHAEL",383093,383093,15731,1
TX,10, DALLAS COUNTY,57914, MESQUITE ISD, TRADITIONAL ISD/CSD,"VROONLAND, DAVID WARREN",381600,381600,38527,1
TX,4, HARRIS COUNTY,101903, ALIEF ISD, TRADITIONAL ISD/CSD,"CHAMBERS, HD",381315,381315,41724,1
TX,4, TRAVIS COUNTY,227820, KIPP TEXAS PUBLIC SCHOOLS, OPEN ENROLLMENT CHARTER,"ALI, SEHBA Z",375000,375000,31200,1
TX,4, FORT BEND COUNTY,79907, FORT BEND ISD, TRADITIONAL ISD/CSD,"DUPRE, CHARLES E",363911,363911,76735,1
TX,11, TARRANT COUNTY,220918, EAGLE MT-SAGINAW ISD, TRADITIONAL ISD/CSD,"CHADWELL, JIMMIE F",362541,362541,21245,1
TX,13, TRAVIS COUNTY,227913, LAKE TRAVIS ISD, TRADITIONAL ISD/CSD,"NORTON, PAUL ANDREW",354610,354610,11001,1
TX,1, CAMERON COUNTY,31901, BROWNSVILLE ISD, TRADITIONAL ISD/CSD,"GUTIERREZ, RENE",354128,354128,40765,1
TX,10, DALLAS COUNTY,57905, DALLAS ISD, TRADITIONAL ISD/CSD,"HINOJOSA, ELIU M",351750,351750,145113,1
TX,10, DALLAS COUNTY,57907, DUNCANVILLE ISD, TRADITIONAL ISD/CSD,"SMITH, MARCELL",350000,350000,11748,1
TX,19, EL PASO COUNTY,71905, YSLETA ISD, TRADITIONAL ISD/CSD,"DE LA TORRE, GUADALUPE JAVIER",349768,349768,38390,1
TX,20, BEXAR COUNTY,15915, NORTHSIDE ISD, TRADITIONAL ISD/CSD,"WOODS, BRIAN T",345652,345652,103151,1
TX,4, HARRIS COUNTY,101912, HOUSTON ISD, TRADITIONAL ISD/CSD,"LATHAN, GRENITA FOSTER",345060,345060,196943,1
TX,10, COLLIN COUNTY,43907, MCKINNEY ISD, TRADITIONAL ISD/CSD,"MCDANIEL, RICKY RAY",345000,345000,23398,1
TX,11, TARRANT COUNTY,220905, FORT WORTH ISD, TRADITIONAL ISD/CSD,"SCRIBNER, KENT P",342000,342000,76858,1
TX,1, CAMERON COUNTY,31903, HARLINGEN CISD, TRADITIONAL ISD/CSD,"CAVAZOS, ARTURO J",340240,340240,17882,1
TX,13, TRAVIS COUNTY,227901, AUSTIN ISD, TRADITIONAL ISD/CSD,"ELIZALDE, STEPHANIE SUZANNE",336938,336938,74871,1
TX,11, TARRANT COUNTY,220901, ARLINGTON ISD, TRADITIONAL ISD/CSD,"CAVAZOS, JOSE MARCELO",334318,334318,56840,1
TX,10, DALLAS COUNTY,57909, GARLAND ISD, TRADITIONAL ISD/CSD,"LOPEZ, RICARDO D",332618,332618,53921,1
TX,11, TARRANT COUNTY,220904, EVERMAN ISD, TRADITIONAL ISD/CSD,"AMOS, CURTIS T",332071,332071,5648,1
TX,4, HARRIS COUNTY,101915, KLEIN ISD, TRADITIONAL ISD/CSD,"MCGOWN, JENNY A",330000,330000,52824,1
TX,4, HARRIS COUNTY,101917, PASADENA ISD, TRADITIONAL ISD/CSD,"POWELL, ELLEN DEEANN",330000,330000,50614,1
TX,10, COLLIN COUNTY,43905, FRISCO ISD, TRADITIONAL ISD/CSD,"WALDRIP, MICHAEL R",329875,329875,63493,1
TX,13, TRAVIS COUNTY,227901, AUSTIN ISD, TRADITIONAL ISD/CSD,"CRUZ, PABLO ARNOLDO",329813,329813,74871,1
TX,4, FORT BEND COUNTY,79901, LAMAR CISD, TRADITIONAL ISD/CSD,"RANDLE, THOMAS EARL",327781,327781,36519,1
TX,4, HARRIS COUNTY,101914, KATY ISD, TRADITIONAL ISD/CSD,"GREGORSKI, KENNETH",327240,327240,84176,1
TX,10, DALLAS COUNTY,57916, RICHARDSON ISD, TRADITIONAL ISD/CSD,"STONE, JEANNE C",327079,327079,37787,1
TX,6, MONTGOMERY COUNTY,170902, CONROE ISD, TRADITIONAL ISD/CSD,"NULL, CURTIS F",326000,326000,64563,1
TX,4, GALVESTON COUNTY,84910, CLEAR CREEK ISD, TRADITIONAL ISD/CSD,"SMITH, GREGORY R",325678,325678,40737,1
TX,4, HARRIS COUNTY,101920, SPRING BRANCH ISD, TRADITIONAL ISD/CSD,"BLAINE, JENNIFER STARK",320714,320714,33288,1
TX,10, DALLAS COUNTY,57911, HIGHLAND PARK ISD, TRADITIONAL ISD/CSD,"TRIGG, THOMAS C",320000,320000,6648,1
TX,11, TARRANT COUNTY,220902, BIRDVILLE ISD, TRADITIONAL ISD/CSD,"BROWN, DARRELL GENE",318713,318713,22736,1
TX,13, HAYS COUNTY,105906, HAYS CISD, TRADITIONAL ISD/CSD,"WRIGHT, ERIC K",318000,318000,20322,1
TX,4, HARRIS COUNTY,101902, ALDINE ISD, TRADITIONAL ISD/CSD,"GOFFNEY, LATONYA MCGOWEN",316944,316944,63302,1
TX,4, HARRIS COUNTY,101913, HUMBLE ISD, TRADITIONAL ISD/CSD,"CELANIA-FAGEN, ELIZABETH A",316240,316240,45528,1
TX,11, DENTON COUNTY,61901, DENTON ISD, TRADITIONAL ISD/CSD,"WILSON, JAMES K",316200,316200,30267,1
TX,20, BEXAR COUNTY,15907, SAN ANTONIO ISD, TRADITIONAL ISD/CSD,"MARTINEZ, PEDRO",315054,315054,45802,1
TX,10, DALLAS COUNTY,57913, LANCASTER ISD, TRADITIONAL ISD/CSD,"GRANGER, ELIJAH",315000,315000,7176,1
TX,11, TARRANT COUNTY,220906, GRAPEVINE-COLLEYVILLE ISD, TRADITIONAL ISD/CSD,"RYAN, ROBIN S",314408,314408,13935,1
TX,10, COLLIN COUNTY,43910, PLANO ISD, TRADITIONAL ISD/CSD,"BONSER, SARA MAE",313712,313712,50154,1
TX,10, DALLAS COUNTY,57813, TRINITY BASIN PREPARATORY, OPEN ENROLLMENT CHARTER,"SHAFFER, RANDAL CRAIG",312000,312000,4189,1
TX,2, NUECES COUNTY,178904, CORPUS CHRISTI ISD, TRADITIONAL ISD/CSD,"HERNANDEZ, JUSTO ROLANDO",311477,311477,34511,1
TX,1, WEBB COUNTY,240903, UNITED ISD, TRADITIONAL ISD/CSD,"SANTOS, ROBERTO J",310056,310056,41902,1
TX,12, BELL COUNTY,14906, KILLEEN ISD, TRADITIONAL ISD/CSD,"CRAFT, JOHN MATTHEW",310000,310000,43838,1
TX,4, HARRIS COUNTY,101845, YES PREP PUBLIC SCHOOLS INC, OPEN ENROLLMENT CHARTER,"DIBELLA, MARK A",310000,310000,13455,1
TX,13, WILLIAMSON COUNTY,246913, LEANDER ISD, TRADITIONAL ISD/CSD,"GEARING, BRUCE",310000,310000,40355,1
TX,13, TRAVIS COUNTY,227909, EANES ISD, TRADITIONAL ISD/CSD,"LEONARD, THOMAS M",308887,308887,7968,1
TX,10, ELLIS COUNTY,70801, WAXAHACHIE FAITH FAMILY ACADEMY, OPEN ENROLLMENT CHARTER,"PURCELL, MOLLIE JO",306495,306495,2686,1
TX,11, DENTON COUNTY,61911, NORTHWEST ISD, TRADITIONAL ISD/CSD,"WARREN, RYDER F",304702,304702,25383,1
TX,10, COLLIN COUNTY,43901, ALLEN ISD, TRADITIONAL ISD/CSD,"BULLOCK, ROBIN NICOLE",304500,304500,21617,1
TX,4, BRAZORIA COUNTY,20908, PEARLAND ISD, TRADITIONAL ISD/CSD,"KELLY, JOHN P",301498,301498,21067,1
TX,13, WILLIAMSON COUNTY,246909, ROUND ROCK ISD, TRADITIONAL ISD/CSD,"FLORES, STEVE",301190,301190,48302,1
TX,18, ECTOR COUNTY,68901, ECTOR COUNTY ISD, TRADITIONAL ISD/CSD,"MURI, SCOTT R",300900,300900,31881,1
TX,1, HIDALGO COUNTY,108912, LA JOYA ISD, TRADITIONAL ISD/CSD,"SAENZ, GISELA",300546,300546,26638,1
TX,10, DALLAS COUNTY,57808, UNIVERSAL ACADEMY, OPEN ENROLLMENT CHARTER,"HARRIS, DIANE",300000,300000,2397,1
TX,11, DENTON COUNTY,61902, LEWISVILLE ISD, TRADITIONAL ISD/CSD,"ROGERS, TOMMY KEVIN",300000,300000,49361,1
TX,4, HARRIS COUNTY,101919, SPRING ISD, TRADITIONAL ISD/CSD,"WATSON, RODNEY E",299642,299642,33567,1
TX,10, DALLAS COUNTY,57903, CARROLLTON-FARMERS BRANCH ISD, TRADITIONAL ISD/CSD,"CHAPMAN, JOHN EDWIN",298169,298169,24858,1
TX,4, FORT BEND COUNTY,79910, STAFFORD MSD, TRADITIONAL ISD/CSD,"BOSTIC, ROBERT ELBERT",296700,296700,3316,1
TX,10, DALLAS COUNTY,57804, TEXANS CAN ACADEMIES, OPEN ENROLLMENT CHARTER,"PONCE, JAMES JOSEPH",295000,295000,4679,1
